"Episode","Length","Reward","IMG","LOG","SAL"
"99","50.0","4.9900000000000002","./frames/image99.gif","./frames/log99.csv","./frames/sal99.gif"
"199","50.0","5.3300000000000001","./frames/image199.gif","./frames/log199.csv","./frames/sal199.gif"
"299","50.0","4.7000000000000002","./frames/image299.gif","./frames/log299.csv","./frames/sal299.gif"
"399","50.0","5.1200000000000001","./frames/image399.gif","./frames/log399.csv","./frames/sal399.gif"
"499","50.0","4.5800000000000001","./frames/image499.gif","./frames/log499.csv","./frames/sal499.gif"
"599","50.0","5.0300000000000002","./frames/image599.gif","./frames/log599.csv","./frames/sal599.gif"
"699","50.0","5.3700000000000001","./frames/image699.gif","./frames/log699.csv","./frames/sal699.gif"
"799","50.0","4.4800000000000004","./frames/image799.gif","./frames/log799.csv","./frames/sal799.gif"
"899","50.0","5.4199999999999999","./frames/image899.gif","./frames/log899.csv","./frames/sal899.gif"
"999","50.0","4.5300000000000002","./frames/image999.gif","./frames/log999.csv","./frames/sal999.gif"
"1099","50.0","5.4299999999999997","./frames/image1099.gif","./frames/log1099.csv","./frames/sal1099.gif"
"1199","50.0","5.6900000000000004","./frames/image1199.gif","./frames/log1199.csv","./frames/sal1199.gif"
"1299","50.0","4.6699999999999999","./frames/image1299.gif","./frames/log1299.csv","./frames/sal1299.gif"
"1399","50.0","4.5499999999999998","./frames/image1399.gif","./frames/log1399.csv","./frames/sal1399.gif"
"1499","50.0","5.0999999999999996","./frames/image1499.gif","./frames/log1499.csv","./frames/sal1499.gif"
"1599","50.0","4.8200000000000003","./frames/image1599.gif","./frames/log1599.csv","./frames/sal1599.gif"
"1699","50.0","5.2999999999999998","./frames/image1699.gif","./frames/log1699.csv","./frames/sal1699.gif"
"1799","50.0","4.9000000000000004","./frames/image1799.gif","./frames/log1799.csv","./frames/sal1799.gif"
"1899","50.0","4.9400000000000004","./frames/image1899.gif","./frames/log1899.csv","./frames/sal1899.gif"
"1999","50.0","5.0","./frames/image1999.gif","./frames/log1999.csv","./frames/sal1999.gif"
"2099","50.0","4.8499999999999996","./frames/image2099.gif","./frames/log2099.csv","./frames/sal2099.gif"
"2199","50.0","5.1299999999999999","./frames/image2199.gif","./frames/log2199.csv","./frames/sal2199.gif"
"2299","50.0","4.7199999999999998","./frames/image2299.gif","./frames/log2299.csv","./frames/sal2299.gif"
"2399","50.0","4.5999999999999996","./frames/image2399.gif","./frames/log2399.csv","./frames/sal2399.gif"
"2499","50.0","5.29","./frames/image2499.gif","./frames/log2499.csv","./frames/sal2499.gif"
"2599","50.0","5.25","./frames/image2599.gif","./frames/log2599.csv","./frames/sal2599.gif"
"2699","50.0","5.4100000000000001","./frames/image2699.gif","./frames/log2699.csv","./frames/sal2699.gif"
"2799","50.0","5.04","./frames/image2799.gif","./frames/log2799.csv","./frames/sal2799.gif"
"2899","50.0","4.8399999999999999","./frames/image2899.gif","./frames/log2899.csv","./frames/sal2899.gif"
"2999","50.0","4.9000000000000004","./frames/image2999.gif","./frames/log2999.csv","./frames/sal2999.gif"
"3099","50.0","5.04","./frames/image3099.gif","./frames/log3099.csv","./frames/sal3099.gif"
"3199","50.0","5.04","./frames/image3199.gif","./frames/log3199.csv","./frames/sal3199.gif"
"3299","50.0","5.7999999999999998","./frames/image3299.gif","./frames/log3299.csv","./frames/sal3299.gif"
"3399","50.0","5.0999999999999996","./frames/image3399.gif","./frames/log3399.csv","./frames/sal3399.gif"
"3499","50.0","4.8399999999999999","./frames/image3499.gif","./frames/log3499.csv","./frames/sal3499.gif"
"3599","50.0","5.3499999999999996","./frames/image3599.gif","./frames/log3599.csv","./frames/sal3599.gif"
"3699","50.0","5.1900000000000004","./frames/image3699.gif","./frames/log3699.csv","./frames/sal3699.gif"
"3799","50.0","5.0700000000000003","./frames/image3799.gif","./frames/log3799.csv","./frames/sal3799.gif"
"3899","50.0","5.1399999999999997","./frames/image3899.gif","./frames/log3899.csv","./frames/sal3899.gif"
"3999","50.0","5.3499999999999996","./frames/image3999.gif","./frames/log3999.csv","./frames/sal3999.gif"
"4099","50.0","4.8300000000000001","./frames/image4099.gif","./frames/log4099.csv","./frames/sal4099.gif"
"4199","50.0","4.6100000000000003","./frames/image4199.gif","./frames/log4199.csv","./frames/sal4199.gif"
"4299","50.0","4.4400000000000004","./frames/image4299.gif","./frames/log4299.csv","./frames/sal4299.gif"
"4399","50.0","4.9000000000000004","./frames/image4399.gif","./frames/log4399.csv","./frames/sal4399.gif"
"4499","50.0","4.9900000000000002","./frames/image4499.gif","./frames/log4499.csv","./frames/sal4499.gif"
"4599","50.0","4.4699999999999998","./frames/image4599.gif","./frames/log4599.csv","./frames/sal4599.gif"
"4699","50.0","5.2800000000000002","./frames/image4699.gif","./frames/log4699.csv","./frames/sal4699.gif"
"4799","50.0","4.9500000000000002","./frames/image4799.gif","./frames/log4799.csv","./frames/sal4799.gif"
"4899","50.0","4.8399999999999999","./frames/image4899.gif","./frames/log4899.csv","./frames/sal4899.gif"
"4999","50.0","5.1699999999999999","./frames/image4999.gif","./frames/log4999.csv","./frames/sal4999.gif"
"5099","50.0","5.1399999999999997","./frames/image5099.gif","./frames/log5099.csv","./frames/sal5099.gif"
"5199","50.0","5.1200000000000001","./frames/image5199.gif","./frames/log5199.csv","./frames/sal5199.gif"
"5299","50.0","4.7800000000000002","./frames/image5299.gif","./frames/log5299.csv","./frames/sal5299.gif"
"5399","50.0","5.1600000000000001","./frames/image5399.gif","./frames/log5399.csv","./frames/sal5399.gif"
"5499","50.0","4.75","./frames/image5499.gif","./frames/log5499.csv","./frames/sal5499.gif"
"5599","50.0","5.0700000000000003","./frames/image5599.gif","./frames/log5599.csv","./frames/sal5599.gif"
"5699","50.0","4.8300000000000001","./frames/image5699.gif","./frames/log5699.csv","./frames/sal5699.gif"
"5799","50.0","5.4500000000000002","./frames/image5799.gif","./frames/log5799.csv","./frames/sal5799.gif"
"5899","50.0","5.0599999999999996","./frames/image5899.gif","./frames/log5899.csv","./frames/sal5899.gif"
"5999","50.0","5.0999999999999996","./frames/image5999.gif","./frames/log5999.csv","./frames/sal5999.gif"
"6099","50.0","4.9400000000000004","./frames/image6099.gif","./frames/log6099.csv","./frames/sal6099.gif"
"6199","50.0","4.9100000000000001","./frames/image6199.gif","./frames/log6199.csv","./frames/sal6199.gif"
"6299","50.0","5.2300000000000004","./frames/image6299.gif","./frames/log6299.csv","./frames/sal6299.gif"
